Employee ID,Basic Salary
1,35102
2,38649
3,36962
4,46748
5,44177
6,47823
7,44748
8,45120
9,40638
10,38409
11,46639
12,20889
13,44321
14,47568
15,22331
16,27275
17,48053
18,24307
19,34021
20,48134
21,39235
22,40216
23,25643
24,45024
25,41087
26,37044
27,47475
28,40022
29,23539
30,45489
31,26922
32,24483
33,30916
34,41456
35,21539
36,20288
37,35699
38,27217
39,36585
40,44238
41,23627
42,21388
43,45208
44,46689
45,29295
46,24521
47,49822
48,34697
49,47466
50,47730
51,25603
52,28696
53,34173
54,49019
55,37549
56,46125
57,32725
58,49892
59,36144
60,48792
61,26900
62,47214
63,32080
64,39798
65,34559
66,25526
67,33449
68,38332
69,21276
70,22484
71,36836
72,39144
73,39043
74,34033
75,47376
76,49602
77,28492
78,32557
79,40969
80,39595
81,25211
82,30632
83,44707
84,23135
85,32873
86,27706
87,31738
88,31901
89,20457
90,47424
91,25189
92,31137
93,48133
94,21473
95,26927
96,26051
97,27383
98,28851
99,23560
100,32907
101,31203
102,39359
103,46388
104,24754
105,20446
106,25193
107,43879
108,26070
109,30675
110,32241
111,49996
112,49001
113,26777
114,36106
115,31858
116,22075
117,42784
118,31209
119,40064
120,31224
121,25904
122,32420
123,24913
124,43764
125,39400
126,31637
127,41344
128,45044
129,28894
130,25756
131,30970
132,31069
133,20043
134,35641
135,33376
136,48522
137,42364
138,27067
139,48381
140,41038
141,36325
142,48376
143,46173
144,48847
145,21965
146,42714
147,49049
148,28741
149,48006
150,39878
151,22907
152,45387
153,34533
154,23215
155,26603
156,23341
157,22035
158,27549
159,49001
160,35750
161,49005
162,38303
163,29674
164,45659
165,33192
166,41721
167,32881
168,38486
169,37833
170,41291
171,41593
172,29352
173,42045
174,30374
175,24574
176,36400
177,40180
178,44577
179,21157
180,39712
181,39339
182,45256
183,31698
184,26947
185,46630
186,49618
187,40212
188,39212
189,41470
190,24649
191,44885
192,38197
193,22605
194,43899
195,26594
196,43728
197,35748
198,39775
199,39221
200,35232
201,39534
202,41763
203,45604
204,49687
205,31836
206,48243
207,36437
208,42198
209,28676
210,39287
211,34568
212,43180
213,48889
214,36972
215,46708
216,28936
217,37457
218,25498
219,27150
220,31109
221,44438
222,25819
223,23577
224,36300
225,43252
226,29310
227,27592
228,35195
229,20830
230,40962
231,44432
232,28455
233,21175
234,24593
235,44152
236,32158
237,49222
238,30175
239,45783
240,44764
241,35141
242,29445
243,23876
244,24071
245,24288
246,46731
247,21095
248,35051
249,20194
250,40471
251,23780
252,30695
253,30751
254,25290
255,41977
256,21514
257,47750
258,24894
259,35836
260,33484
261,35514
262,35869
263,30166
264,25882
265,20922
266,32685
267,30100
268,38736
269,36988
270,21219
271,36039
272,30609
273,45425
274,31130
275,47194
276,23782
277,36079
278,30140
279,30722
280,44129
281,21221
282,37243
283,22082
284,42074
285,42945
286,31600
287,33839
288,27583
289,31581
290,21328
291,21825
292,47644
293,44385
294,21850
295,44300
296,24650
297,32932
298,33285
299,48883
300,30106
301,20234
302,41698
303,21389
304,43006
305,24294
306,31196
307,37420
308,42225
309,43615
310,22958
311,38844
312,46976
313,40412
314,39185
315,32948
316,35537
317,20302
318,32080
319,34066
320,37061
321,30777
322,43160
323,24637
324,31352
325,25188
326,35761
327,44604
328,43133
329,37487
330,34270
331,21755
332,38467
333,36781
334,44004
335,22456
336,44337
337,40536
338,49534
339,38986
340,40704
341,24774
342,40565
343,23443
344,49650
345,42656
346,24906
347,27985
348,40154
349,28990
350,31972
351,21806
352,48901
353,36906
354,32866
355,36332
356,31756
357,42661
358,33179
359,26411
360,25149
361,29689
362,44820
363,39594
364,21392
365,21662
366,47903
367,25359
368,35759
369,32473
370,35114
371,49131
372,37430
373,44041
374,44014
375,29975
376,38493
377,49722
378,27334
379,47844
380,32238
381,39938
382,47011
383,20300
384,41782
385,27267
386,35444
387,36114
388,33108
389,45776
390,39476
391,28266
392,26504
393,31479
394,39370
395,46414
396,28907
397,38842
398,24636
399,44747
400,33356
401,46864
402,20934
403,37030
404,28907
405,28771
406,27246
407,36661
408,39462
409,22198
410,39602
411,46603
412,20010
413,49397
414,24691
415,40206
416,40005
417,36045
418,43165
419,35152
420,49695
421,32266
422,21636
423,40890
424,22975
425,41032
426,39873
427,35340
428,34874
429,25096
430,38796
431,22199
432,46866
433,40255
434,46498
435,41323
436,21505
437,45898
438,37627
439,44368
440,25666
441,30659
442,31119
443,24147
444,46013
445,43669
446,33223
447,34290
448,25950
449,49472
450,31448
451,24092
452,39848
453,24807
454,26815
455,30282
456,40066
457,35222
458,43207
459,43511
460,44018
461,31810
462,43341
463,24352
464,43787
465,43320
466,39159
467,41361
468,32645
469,26298
470,34723
471,30249
472,25951
473,20857
474,28112
475,34089
476,40919
477,44573
478,25380
479,45635
480,47159
481,23834
482,40628
483,46142
484,46718
485,31798
486,22322
487,25437
488,40044
489,44731
490,43528
491,26634
492,39416
493,40308
494,33719
495,36395
496,29073
497,34641
498,21877
499,49023
500,49531
501,29718
502,41304
503,32265
504,33710
505,20526
506,21688
507,49560
508,44473
509,22055
510,34148
511,27073
512,41204
513,27651
514,32156
515,30196
516,24173
517,43554
518,27171
519,44957
520,35267
521,36871
522,32400
523,46914
524,28525
525,42182
526,30782
527,24554
528,27242
529,20574
530,44632
531,39632
532,38367
533,33251
534,46469
535,37774
536,47195
537,32529
538,24668
539,37299
540,37970
541,20802
542,30398
543,28403
544,49392
545,32097
546,21725
547,44376
548,25101
549,45275
550,23275
551,30366
552,27059
553,46864
554,46582
555,23026
556,42768
557,25956
558,45844
559,27560
560,35542
561,42175
562,30573
563,41564
564,43220
565,27350
566,25161
567,42095
568,43352
569,33763
570,46753
571,32152
572,47841
573,43828
574,49692
575,44130
576,24157
577,21909
578,42077
579,45545
580,40959
581,48268
582,40107
583,20490
584,45118
585,22386
586,35959
587,20611
588,35969
589,27427
590,49001
591,32588
592,37128
593,25329
594,45669
595,44710
596,49320
597,48280
598,37937
599,34072
600,38085
601,44897
602,46032
603,27097
604,34423
605,29300
606,40144
607,46021
608,29500
609,25834
610,32928
611,21081
612,20405
613,30148
614,25465
615,38794
616,35318
617,27723
618,47730
619,20395
620,31511
621,26307
622,45434
623,25993
624,28114
625,32878
626,30060
627,48427
628,23972
629,48072
630,38048
631,27784
632,47033
633,45348
634,38378
635,34618
636,28146
637,33923
638,49986
639,43115
640,21496
641,26545
642,22584
643,33280
644,33962
645,38424
646,21695
647,24077
648,37178
649,30450
650,22847
651,22251
652,46064
653,49559
654,47956
655,31974
656,45105
657,35208
658,24309
659,24580
660,36456
661,41781
662,28114
663,37964
664,28582
665,41678
666,44917
667,23418
668,24798
669,47339
670,46722
671,21119
672,26459
673,43099
674,36566
675,34337
676,38521
677,20076
678,20692
679,45696
680,43403
681,26285
682,20531
683,28318
684,41926
685,34821
686,45803
687,31292
688,31070
689,20603
690,29998
691,47117
692,24826
693,29988
694,32260
695,35402
696,37218
697,45337
698,20418
699,39713
700,34361
701,27442
702,43978
703,43105
704,27511
705,48109
706,26732
707,34356
708,46929
709,22069
710,24223
711,26520
712,39004
713,25717
714,27917
715,24845
716,45920
717,26232
718,40041
719,31519
720,41631
721,38653
722,43771
723,34252
724,37704
725,23343
726,36226
727,21853
728,43187
729,47478
730,46108
731,42625
732,22544
733,27185
734,48063
735,24640
736,40598
737,46043
738,25243
739,35802
740,41576
741,33458
742,44714
743,28698
744,32200
745,21703
746,21830
747,25814
748,47836
749,44795
750,27705
751,43928
752,36874
753,46263
754,37259
755,43033
756,43056
757,31186
758,24058
759,22427
760,32361
761,24121
762,20485
763,30794
764,36258
765,31497
766,31977
767,42809
768,25825
769,35158
770,42735
771,24079
772,28166
773,43269
774,44562
775,26992
776,40994
777,38413
