Student_ID,Course_1,Course_2,Course_3,Course_4,Course_5,Course_6,Course_7,Course_8
Student_1,104,102,103,107,105,106,101,108
Student_2,101,102,103,104,105,108,107,106
Student_3,108,102,105,104,103,107,106,101
Student_4,104,102,103,101,105,106,107,108
Student_5,101,103,102,104,105,106,107,108
Student_6,101,102,103,104,105,106,107,108
Student_7,105,102,103,104,107,108,101,106
Student_8,101,104,103,102,105,106,107,108
Student_9,101,102,103,104,105,106,107,108
Student_10,103,102,104,101,105,106,107,108
Student_11,104,101,103,105,102,106,107,108
Student_12,101,102,104,106,105,108,107,109
Student_13,104,102,101,103,105,106,107,108
Student_14,108,102,107,104,105,106,103,101
Student_15,108,102,103,104,105,106,107,101
Student_16,106,105,103,104,108,101,107,102
Student_17,101,102,108,104,105,106,103,107
Student_18,107,102,106,104,101,103,105,108
Student_19,103,102,101,104,105,106,107,108
Student_20,101,102,107,108,105,106,104,103
Student_21,101,103,107,104,105,106,102,108
Student_22,101,102,103,104,106,105,107,108
Student_23,101,102,103,104,105,106,107,108
Student_24,104,102,103,106,108,101,107,105
Student_25,101,102,103,104,105,106,107,108
Student_26,101,102,103,104,105,107,106,108
Student_27,101,102,103,104,108,106,107,105
Student_28,107,101,106,104,105,103,102,108
Student_29,101,102,103,104,105,106,107,108
Student_30,101,102,108,104,105,106,107,103
Student_31,101,104,103,107,105,108,102,106
Student_32,101,102,103,104,106,105,107,108
Student_33,101,108,103,104,105,106,107,102
Student_34,101,102,107,104,106,105,108,103
Student_35,101,106,103,104,105,107,108,102
Student_36,101,102,103,104,105,106,107,108
Student_37,103,102,108,104,105,106,107,101
Student_38,101,106,102,107,105,103,104,108
Student_39,101,107,103,106,105,104,102,108
Student_40,101,108,103,104,106,105,102,107
Student_41,101,107,103,104,105,106,102,108
Student_42,105,102,103,104,101,108,106,107
Student_43,102,101,103,104,105,106,107,108
Student_44,102,101,103,104,105,106,107,108
Student_45,108,102,103,106,104,105,107,101
Student_46,104,102,103,106,105,101,108,107
Student_47,108,101,103,104,105,107,106,102
Student_48,101,102,103,104,105,106,107,108
Student_49,104,106,103,105,101,102,107,108
Student_50,104,108,106,101,105,103,107,102
Student_51,105,102,103,106,107,104,101,108
Student_52,101,102,103,104,105,106,107,108
Student_53,106,101,102,104,105,103,107,108
Student_54,101,102,103,104,105,106,107,108
Student_55,105,102,103,104,101,106,107,108
Student_56,101,107,103,104,105,108,106,102
Student_57,108,101,103,104,107,106,105,102
Student_58,105,102,103,104,101,106,107,108
Student_59,108,102,103,104,105,101,107,106
Student_60,101,102,103,104,105,106,107,108
Student_61,101,104,106,102,103,105,107,108
Student_62,101,102,103,104,105,106,107,108
Student_63,101,102,108,104,105,103,107,106
Student_64,101,105,103,104,108,106,102,107
Student_65,108,102,103,104,105,106,107,101
Student_66,101,102,103,108,105,106,107,104
Student_67,101,102,103,104,108,106,107,105
Student_68,101,102,103,104,105,106,107,108
Student_69,101,102,104,103,105,106,107,108
Student_70,101,102,103,108,106,105,107,104
Student_71,101,103,102,104,105,106,107,108
Student_72,101,102,103,104,105,106,107,108
Student_73,101,102,103,104,105,106,107,108
Student_74,102,104,103,106,105,101,107,108
Student_75,101,102,104,103,105,106,107,108
Student_76,108,102,103,104,105,106,107,101
Student_77,101,106,103,105,104,102,108,107
Student_78,108,102,105,104,101,106,107,103
Student_79,101,102,103,107,105,106,104,108
Student_80,103,104,105,102,101,106,107,108
Student_81,101,102,104,103,105,106,107,108
Student_82,101,108,106,104,105,103,107,102
Student_83,101,103,102,104,108,107,106,105
Student_84,104,102,103,105,101,106,107,108
Student_85,101,102,108,104,105,106,107,103
Student_86,101,107,106,104,105,102,103,108
Student_87,106,102,103,104,107,105,101,108
Student_88,106,102,103,104,101,108,107,105
Student_89,101,102,103,104,105,106,107,108
Student_90,105,102,103,101,104,106,107,108
Student_91,105,102,103,106,107,104,101,108
Student_92,101,102,103,104,105,106,107,108
Student_93,101,102,103,104,105,106,107,108
Student_94,105,102,103,104,101,106,107,108
Student_95,101,108,102,104,105,106,107,103
Student_96,101,102,103,106,105,104,107,108
Student_97,101,107,103,104,105,106,102,108
Student_98,101,102,103,104,105,106,107,108
Student_99,101,102,103,106,107,104,105,108
Student_100,101,106,103,104,105,102,107,108
